Card Name,Depiction,Card Effect,Status
<Laughing Shadows,A group of shadowy figures laughing and pointing,"For 5 minutes, all enemies in the radius have disadvantage on attack rolls as unseen laughter distracts them, but allies suffer disadvantage on Stealth checks due to the same laughter 🗣️>",
<Cacophony of Chaos,A horn blowing clouds of vibrant smoke,"For 10 minutes, all sound within one mile is distorted causing disadvantage on Perception checks relying on hearing and all verbal spell components have a 50% chance to fail 🔊>",
<Jester's Gambit,A colorful jester juggling bright orbs,"For 1 hour, all creature's movement speed within one mile changes randomly at the start of each turn, doubling, halving, or reducing to zero by a roll of [[1d6]] 🤹>",
<Fool's Luck,A smiling clown flipping a coin,"Once drawn, the next roll made by any creature within one mile is made with advantage, but after that roll, that creature must succeed on a DC [[15]] Wisdom save or become confused (as the confusion spell) for 1d4 rounds 🎲>",
<Mirror Mask,A smiling mask split into light and shadow halves,"For 30 minutes, everyone within a one mile radius swaps appearances randomly, forcing all social checks to be made with disadvantage due to identity confusion 😵>",
<Carnival of Misrule,A chaotic parade of masked figures and fireworks,"For 1 hour, all unexplained magical effects within one mile become wild surges, triggering random wild magic effects when a spell is cast or magical ability used 🎆>",
<Circle of Chaos,A swirling vortex of multicolored smoke,"For 10 minutes, the environment within one mile becomes wildly unpredictable—dice rolls for movement, damage, or perception checks are all made with disadvantage or advantage, chosen randomly by the DM 🎲>",
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 minute, every creature within one mile must succeed a DC [[15]] Wisdom saving throw or uncontrollably burst into fits of laughter, becoming incapacitated and prone for 1d4 rounds 🤡>",
<Fool’s Fortune,A cracked playing card with a single eye,"When drawn, all creatures within one mile must roll a d20",
<Mirror Masquerade,A mask with changing faces,"For 30 minutes, everyone within one mile has their appearance altered randomly each hour, causing confusion and potential social advantage or disadvantage 🪞>",
<Moonlit Masquerade,A masked ball under a full moon,"For 30 minutes, everyone within 1 mile gains the effects of Disguise Self altering appearance unpredictably every 10 minutes, causing confusion and mistaken identity 🎭>",
<Wild Card Gambit,A card burning on one end and freezing on the other,"Roll a d4: 1-cold snap, area within 1 mile takes [[2d8]] cold damage and movement halved",
<Chaos Jester,A mischievous jester juggling glowing orbs,"For 1 hour, all creatures within 1 mile must succeed a DC [[15]] Wisdom saving throw or behave as if affected by the Confusion spell, shifting randomly between friend and foe 🤡>",
<Grinning Harlequin,A clown’s face painted with an eerie grin,"For 10 minutes, all attacks within 1 mile have a 25% chance to instead heal the target for [[1d8+3]] hit points rather than deal damage 🤡>",
<Fool’s Lottery,A chaotic lottery wheel with colorful numbers,"Each creature within 1 mile rolls either one boon or one bane condition determined by a coin flip—heads grants advantage on next ability check, tails imposes disadvantage on next save 🎲>",
<The Jester’s Jest,A grinning jester juggling colorful orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or uncontrollably laugh, becoming incapacitated and unable to take reactions for 1d4 rounds 🤡>",
<Chaos Carnival,A swirling carnival tent appearing in a forest clearing,"For 10 minutes, the terrain and obstacles within one mile shift randomly every minute, creating confusing and shifting cover and hazards for all creatures 🎪>",
<Fool’s Fortune,A cracked coin spinning in midair,"Once drawn, roll [[1d20]], on even numbers all benefits and advantages within one mile are doubled for 1 hour, on odd numbers all abilities and saves are at disadvantage for 1 hour 🎲>",
<Mirror of Madness,A hand mirror reflecting distorted faces,"Creatures within one mile perceive allies as enemies and vice versa for 10 minutes, requiring DC [[14]] Charisma saves to act normally 🪞>",
<Prankster’s Wind,A swirling gust carrying colorful ribbons and noises,"For 1 hour, sound travels backward and speech reversed in meaning within one mile",
<Jester’s Mirage,"A whimsical jester with shifting, blurred colors","For 1 hour, within a 1-mile radius, all creatures must roll a DC [[15+d4]] Wisdom save or see illusions of harmless pranks and tricks causing disadvantage on Perception checks and ranged attacks 🤡>",
<Whimsy’s Gambit,A colorful wheel spinning wildly,"For 10 minutes, anyone who enters the 1-mile radius must make a DC [[13+d6]] Dexterity saving throw or randomly teleport within the area, determined by [[1d20]] feet in a random direction 🔄>",
<Chaos Bell,A cracked handbell emitting shimmering sparks,"Rings the bell to cause natural terrain in the 1-mile radius to randomly shift and change, creating difficult terrain zones for 10 minutes 🌪️>",
<Broken Mirror Laugh,A shattered carnival mirror reflecting distorted faces,"For 30 minutes, creatures in the 1-mile radius hear indistinct laughter that imposes disadvantage on Stealth checks and causes disadvantage on saving throws against being frightened 😈>",
<Fools’ Feast,A table set with feast that never ends,"During 1 hour in the 1-mile radius, all food and drink provide double the benefits, but all healing spells have a 50% chance to either heal or harm an equal amount ❤>",
<Court Jester's Revel,A colorful jester juggling glowing orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[14+d4]] Wisdom save at the start of each turn or be compelled to perform a random silly action (laugh, dance, or tell jokes) for that turn 🤡>",
<Pandemonium Burst,A chaotic explosion of multicolored lights in a swirling storm,"Upon drawing, creatures within one mile gain advantage on attack rolls but also suffer disadvantage on saving throws for 1 minute 🌪>",
<Fool's Mirage,"A large, shimmering illusion of a laughing fool that shifts and warps",The environment within one mile appears warped and transformed as if a carnival has sprung up,
<Jester's Gambit,A joker card with a smirking clown face flipping in midair,"For 5 minutes, the user can swap one random beneficial or harmful status effect among creatures within one mile once per turn 🎲>",
<Whispering Madness,"A swirling mass of colorful, whispering smoke",All creatures within one mile must succeed on a DC [[15+d6]] Intelligence saving throw or be affected by short-term madness for 1 minute 🤯>,
<Chaos Breeze,A swirling vortex of multicolored leaves and sparks,"For 10 minutes, random minor wild magic surges occur within 1 mile: roll a d8 each round for a random effect such as teleportation, bursts of fire, or strange illusions (effects vary and are DM determined) 🌪️>",
<Laughing Glass,A cracked mirror with a clown’s wide grin etched into it,All creatures within 1 mile hear uncontrollable laughter causing disadvantage on Stealth and Sleight of Hand checks and grants advantage on Deception and Performance checks for 10 minutes 🤡>,
<Jester’s Gambit,A colorful jester juggling flaming orbs,"For 1 hour, all creatures within 1 mile must roll a d20 at the start of their turn: on an odd roll, they gain advantage on their next attack",
<Harlequin’s Folly,A painted wooden mask with a mischievous smile,"For 5 minutes, creatures within 1 mile swap alignment traits randomly (e.g., lawful to chaotic)",
<Fool’s Fortune,A tarot card showing a clown tossing dice,The user can force all creatures in 1 mile to reroll any d20 roll once per turn for 1 minute,
Moonlit Madness,A pale moon illuminating a twisted forest,"Within one mile, creatures must succeed on a DC [[12+d6]] Wisdom Save or begin acting mad for 1 minute 🌙",
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 minute, all attack rolls within one mile are made with disadvantage and all Charisma checks are made with advantage as laughter distracts foes and inspires allies 🤹‍♂️>",
<Rogue’s Laughter,A grinning clown mask dripping with painted tears,"Within one mile for 5 minutes, all creatures hear uncontrollable laughter, granting all saving throws disadvantage but advantage on saving throws against being frightened 🤡>",
<Fool's Fortune,A deck of cards spilling bright and dark symbols,"Draw a card to determine one effect lasting 10 minutes: odd numbers grant one random benefit, even numbers impose one random hindrance on creatures in a one mile radius 🎭>",
<Pendulum Paradox,A silver pendulum swinging wildly in swirling mist,"For 1 minute, time flows erratically within one mile—initiative orders are reversed and all speed is halved or doubled (determined by a coin flip) each round ⏳>",
<Chaos Carnival,A swirling carnival tent filled with twisting shadows,"For 1 minute, all terrain within 1 mile becomes difficult terrain and all creatures hear haunting laughter, creatures must succeed on a DC [[14+d4]] Wisdom saving throw or be frightened for 1 round 🤡>",
<Jester's Gambit,A colorful jester juggling fiery balls,"Each creature in a 1-mile radius must roll a d20: on an odd roll, they gain advantage on their next attack or saving throw, on an even roll they suffer disadvantage for 1 minute 🎭>",
<Mask of the Merry Prankster,A porcelain mask with a mischievous smile,"Within 1 mile, all illusions and misleading effects are tripled in duration or range, but all healing effects on allies are halved for 5 minutes 🎭>",
<Fool's Boon,A hand of playing cards sparkling with light,"For 10 minutes, all allies in 1 mile regain [[1d4+2]] hit points at the start of their turn while enemies lose [[1d4]] hit points instead 💫>",
<Jester’s Gambit,A grinning clown juggling colorful balls,"For 1 minute, creatures in a 1-mile radius must succeed a DC [[15]] Cha save or be compelled to perform random dance moves, causing disadvantage on attack rolls and skill checks 👯>",
<Mirror Maze,A twisted carnival mirror showing multiple versions of the viewer,"For 10 minutes, illusions of the drawer appear and move randomly within 1 mile, distracting enemies and granting advantage on stealth checks to allies within range 👥>",
<Whimsy Wind,A swirling gust carrying multi-colored leaves and petals,"A chaotic wind affects a 1-mile radius for 5 minutes, causing all ranged weapon attacks to have disadvantage and spells with the range over 30 feet to have a 50% chance to fail 🌬️>",
<Fool’s Fortune,A deck of cards with a smiling jester on the back,Pulling this card causes a random effect in a 1-mile radius: roll [[1d6]]—1: everyone’s hair color changes,
<Clown’s Merriment,A clown’s oversized red nose glowing brightly,"For 1 hour, creatures within 1 mile who fail a DC [[14]] Wis save burst into uncontrollable laughter when trying to speak, disabling verbal spell components and social interaction 🤡>",
<Chaos Veil,A swirling mist of shifting colors,"For 10 minutes, all ranged attack rolls made within 1 mile are made at disadvantage due to erratic magical interference 🌪️>",
<Jester's Jest,A grinning clown juggling colorful balls,"For 1 minute, creatures within 1 mile must succeed on a DC [[15]] Wisdom save or break into uncontrollable laughter, becoming incapacitated and unable to take actions for 1 round each time they start their turn 🤡>",
<Whispering Winds,A breezy swirl of ethereal voices,"All whispers and secret communications within 1 mile are clearly audible to all for 30 minutes, removing stealth from verbal conversation 🕊️>",
<Fool's Gambit,A tarot card showing a clown stepping off a cliff,"The bearer gains advantage on all skill checks, but all allies within 1 mile have disadvantage on saving throws for 1 minute 🎭>",
<Lucky Misfortune,A set of dice showing both ones and sixes,"For 1 hour, any creature within 1 mile that rolls a 1 on an attack or ability check can reroll it but must take the second result, whether good or bad 🎲>",
<Jester's Gambit,A colorful jester juggling blazing orbs,"For 1 minute, all creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or be compelled to perform a random absurd action each turn (dancing, speaking gibberish, miming) 🃏>",
<Fool's Mirage,A swirling haze with multiple distorted faces,Creates a confusing illusion fog for 5 minutes in a one-mile radius—creatures inside the fog have disadvantage on attack rolls and skill checks while allies gain advantage on saving throws against fear and charm 😵>,
<Clown’s Boon,A red-nosed clown handing out balloons,"For one hour, happiness spreads: creatures within one mile heal [[2d6]] hit points at the start of their turns but must succeed on a DC [[14]] Charisma saving throw or be compelled to tell jokes uncontrollably 🤡>",
<Topsy-Turvy,An upside down castle floating in the clouds,"Gravity reverses erratically for 10 minutes in one mile radius causing creatures to fall upward or sideways at random, DC [[16]] Dexterity save to avoid damage from sudden movement 🌪>",
<Wild Card Chaos,A card exploding into sparks and colors,All magic and technology malfunctions unpredictably for one minute within one mile—spells and magical effects have a 50% chance to fail or cause a random wild magic surge ⚡>,
<Jester's Gambit,A colorful jester juggling magical orbs,"For 1 minute, all creatures within 1 mile must succeed on a DC [[13+d6]] Wisdom saving throw or be compelled to mimic the actions of a random nearby creature on their next turn 🤡>",
<Chaos Veil,A swirling haze of vibrant colors and floating dice,"Within 1 mile, all attack rolls and saving throws are rolled with disadvantage for 1 minute due to chaotic interference 🎲>",
<Harlequin's Prank,A laughing mask with shifting expressions,"Once pulled, illusions of harmless trickery appear randomly within 1 mile, causing creatures to waste their actions investigating or reacting for 10 minutes 🤥>",
<Fool's Fortune,A worn deck of cards with a glowing joker card on top,"For the next hour, the cardholder and creatures in a 1 mile radius gain advantage on one random ability check each hour, but suffer disadvantage on one saving throw chosen by the DM each hour 🤹>",
<Mirror Mile,An ornate mirror reflecting infinite copies of a clown,"For 10 minutes, any creature within 1 mile that targets another with a spell or attack has a 50% chance that the effect instead targets themselves or an ally randomly 🎭>",
<Jester's Gambit,A colorful jester juggling glowing orbs,"Roll a d20—on an odd roll, all creatures within one mile are charmed for 1 minute",
<Pandemonium Whistle,A twisted whistle with a smiley face,"When blown, all creatures within one mile must succeed on a DC [[15+d4]] Wisdom save or uncontrollably burst into laughter for 1 minute, incapacitating them 😆>",
<Clown's Blessing,A painted red nose glowing softly,"For 1 hour, all healing spells cast within one mile heal an additional [[1d8]] hit points and all damage dealt is reduced by [[1d6]] 🔴>",
<Mirror of Misrule,A cracked handheld mirror reflecting multiple distorted faces,"For 10 minutes, all effects of spells or abilities that originate in the area within one mile target a random creature or location instead of the intended target 🎭>",
<Wild Card Shuffle,A deck of cards with shifting patterns,"Draw a card—each card randomly causes either a beneficial or harmful magical effect within one mile for 1 minute (effects include random teleportation, temporary invisibility, confusion, or blessing) 🎴>",
<Chaos Veil,A swirling mist that distorts light and sound,"For 10 minutes, all ranged attack rolls and spell attack rolls within one mile are made with disadvantage, and all stealth checks are made with advantage 🌫️>",
<Fickle Fortune,A golden coin spinning in the air,"Flip a coin: on heads, all damage dealt by creatures within one mile is doubled for 1 minute",
<Harlequin’s Mirth,A smiling clown mask with glowing eyes,"For 5 minutes, laughter erupts uncontrollably from all creatures within one mile, causing disadvantage on concentration checks and advantage on saving throws against fear 😆>",
<Jester’s Gambit,A grinning jester juggling flaming orbs,"For 1 minute, all creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or become charmed and compelled to perform a random harmless prank each turn 🤡>",
<Mirrored Time,An hourglass reflecting a twisted face,"For 1 minute, time seems jumbled within one mile causing all creatures to take their turns in random order, rolled anew each round ⏳>",
<Chaos Ripple,A swirling vortex of shifting colors,"For 10 minutes, any magical effect or spell cast within one mile has a 50% chance to change its effect randomly as determined by the DM 🔀>",
<Jester’s Gambit,A vibrant jester juggling colorful orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[14]] Wisdom save or be compelled to perform a random dance or act of clownish behavior each round, granting advantage to Insight checks against them 🤡>",
<Fool’s Respite,"A glowing card with a smiling, carefree face","Grants all creatures within one mile advantage on saving throws against fear and charm effects for 1 hour, but they must speak only nonsense that others can understand for the duration 🤪>",
<Broken Compass,A cracked compass that spins erratically,"For 1 hour, all navigation attempts using magic or mundane means within one mile fail or lead to the exact opposite direction intended 🧭>",
<Whisperwind’s Folly,A swirling breeze carrying faint laughter,"For 10 minutes, all sound within one mile is muffled and all spoken communication is replaced by unintelligible whispers, but perception checks relying on hearing gain advantage 🌬️>",
<Jester's Gambit,A colorful jester juggling glowing balls,"For 1 minute, all creatures within one mile have their movement speeds and attack rolls swapped with another random creature each round (DC [[14+d4]] Wis Save to resist) 🤹>",
<Chaos Veil,"A swirling, shifting mist covering a city","For 10 minutes, spells cast within one mile are affected by wild magic surges (roll on the Wild Magic Surge table after each spell) 🌫️>",
<Fool's Fortune,A tarot card showing a smiling fool stepping off a cliff,"The next hour, any saving throw or attack made within one mile automatically rerolls a natural 1 on the roll once per roll, for friend or foe alike 🎲>",
<Silent Laughter,A grinning clown mask floating in the air,"Within one mile, all laughter is silent and contagious, imposing disadvantage on Stealth checks and advantage on Persuasion checks for 5 minutes 😂>",
<Mirror's Folly,A cracked handheld mirror reflecting twisted faces,"For 10 minutes, creatures within one mile see their allies as enemies and enemies as allies, causing confusion and potential friendly fire, DC [[15+d6]] Cha Save to avoid attacking allies 🤡>",
<Jester's Gambit,A colorful jester juggling glowing orbs,"Within one mile, all creatures must succeed on a DC [[15]] Wisdom saving throw or become compelled to perform random actions (such as dancing, shouting, or mimicking others) for 1 minute, causing chaos and distraction 🤡>",
<Laughing Mask,A porcelain mask split between a smile and a frown,"For 10 minutes, emotions within one mile fluctuate wildly—hostility may turn to friendship and fear to courage, altering all Charisma (Persuasion) and saving throws by [[+2 or -2]] randomly assigned each round 🎭>",
<Fool’s Breath,A swirling gust of multicolored smoke,Release causes a 1-mile radius cloud,
<Harlequin’s Mirror,A cracked hand mirror reflecting many faces,"For the next hour within one mile, illusions created by any source are twice as real, and all creatures have disadvantage on Insight checks to discern lies or illusions 🪞>",
<Pandemonium Totem,A twisted wooden pole with painted eyes and ribbons,"Summon creates discord for 10 minutes in a 1-mile radius where all spellcasters roll a [[d20]] on casting to determine if their spell backfires, succeeds, or fizzles (roll 1=backfire, 2-19=success, 20=fizzle) 🎲>",
<Clown’s Mirth,A painted clown face laughing hysterically,"For 5 minutes, all creatures within one mile must succeed on a DC [[15+d4]] Wisdom save or burst into uncontrollable laughter, being incapacitated and unable to take actions for 1d4 rounds 🤡>",
<Fool’s Fortune,A cracked tarot card showing a blindfolded figure,"Upon drawing, roll [[1d20]]: on an even result, all friendly creatures within one mile gain advantage on attack rolls and saving throws for 10 minutes",
<Jester’s Gambit,A whimsical jester juggling flaming balls,"For 1 minute, all creatures within one mile have their movement altered unpredictably: roll a d4 for each creature at the start of their turn—1: move towards the user, 2: move away from the user, 3: stand still, 4: move randomly 10 feet in any direction 🃏>",
<Chaos Ripple,An abstract swirl of colors distorting reality,"All magic cast within one mile has a 50% chance to produce a random wild magic surge effect for 1 hour, triggered only when a spell is cast 🔮>",
<Unstable Echo,A cracked and flickering image of the user,"For 10 minutes, any extra damage dealt by or to creatures within one mile is negated, but all healing is doubled (positive or negative effects count) 🌀>",
<Laughing Jester,A painted wooden jester doll with a permanently grinning face,"For 1 hour, creatures within one mile must succeed on a DC [[15]] Wisdom saving throw at the start of their turn or be uncontrollably compelled to laugh, having disadvantage on attack rolls and ability checks for that turn 🤡>",
<Whispering Winds,A swirling gust of luminous air carrying faint laughter,"For 10 minutes, the area within one mile becomes filled with whispers that reveal one hidden secret per creature, but also broadcast one of their own vulnerabilities to all others within the radius (DM discretion) 🌬️>",
<Mirrored Prank,Two identical clown masks facing each other,"For 10 minutes, creatures within one mile find their reflections in any reflective surface replaced by their worst or most embarrassing moments, causing disadvantage on Charisma (Persuasion) checks and advantage on Insight checks against them 🤡>",
<Fool’s Gambit,A deck of cards dissolving into sparkling dust around a rogue figure,"When this card is drawn, roll a d20: on 1-10, everyone within one mile takes [[3d8]] psychic damage as their thoughts scramble",
<Chaotic Revelry,A swirling carnival scene filled with confetti and jesters,"For 5 minutes, all creatures within one mile are affected by a wild magic surge effect (roll on the wild magic table or DM’s chosen random effects) every turn 🎭>",
<Chaos Wave,A swirling vortex of multicolored smoke,"Upon drawing, all hostile and friendly creatures within one mile must roll a d20: on 1–10, they are frightened for 1 minute",
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 minute, all creatures except the cardholder within one mile emit random harmless sounds at the start of their turns, causing disadvantage on Stealth checks and Concentration saves 🎭>",
<Pandemonium's Dance,A group of clowns performing an erratic dance,"Creatures in one mile must succeed on a DC [[14+d4]] Wisdom save or become charmed by the cardholder, compelled to mimic their movements for 1 minute 🤡>",
<Mirrored Madness,Two identical fools facing each other in a broken glass frame,"All affected creatures within one mile swap their highest and lowest ability scores for 10 minutes, causing chaotic fluctuations in their capabilities 🤯>",
<Fool's Fortune,A deck of scattered tarot cards floating midair,"Once drawn, the cardholder may reroll any one attack roll, saving throw, or ability check within the next minute but must accept the second result regardless of outcome 🎲>",
<Jester's Gambit,A colorful jester tossing dice in the air,"For 1 hour, all attacks within one mile deal either double damage or no damage, decided by a lucky roll of [[1d2]] after the attack is declared 🤡>",
<Circle of Confusion,A tangled ring of multicolored smoke rising from the ground,"For the next 10 minutes, all creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or be unable to distinguish friend from foe, attacking the nearest creature each turn 🌀>",
<Whispering Winds,A swirl of ethereal gusts with faint laughter,All creatures within one mile hear faint whispers of their deepest fears or desires causing disadvantage on Insight and Perception checks for 10 minutes 🌬>,
<Bell of Bewilderment,An ornate silver bell with a clown face engraved on it,"Ringing this bell causes all magic within a one-mile radius to either double in effect or fail altogether, determined by a [[1d2]] roll for each spell cast for 5 minutes 🔔>",
<Fool's Fortune,A cracked deck of cards spilling from a broken box,"Drawn from the deck, this card causes random beneficial or detrimental effects within a one-mile radius determined by the DM, lasting for [[1d4]] rounds 🎲>",
<Jester's Gambit,A brightly colored jester juggling enchanted orbs,"For 1 hour, creatures within one mile must succeed on a DC [[15]] Wisdom saving throw or become compelled to mimic the last action they saw, regardless of intent 🎭>",
<Laughing Gas,A grinning clown face exhales colorful smoke,All creatures within one mile must make a DC [[14]] Constitution saving throw or be incapacitated with uncontrollable laughter for 1 minute 🤡>,
<Chaos Carnival,A swirling circus tent under a stormy sky,"For 10 minutes, random magical effects occur within one mile each round, determined by rolling on the Wild Magic Surge table 🌀>",
<The Fool's Step,A barefoot figure stepping lightly across a field of flowers,"For one hour, any creature within one mile can teleport up to 30 feet as a bonus action but must finish their turn prone 🌼>",
<Mirror Mirage,A cracked carnival mirror reflecting multiple distorted images,"For 10 minutes, illusions of the caster appear randomly within one mile, distracting enemies and imposing disadvantage on attacks against creatures other than the caster 🪞>",
<Prism of Paradox,A fractured glass prism that refracts sparkling colors,"Creatures within 1 mile experience random status effects for 10 minutes—roll [[1d6]] on the table: 1=blinded, 2=deafened, 3=charmed, 4=frightened, 5=slowed, 6=hasted ✨>",
<Jester’s Gambit,A colorful jester juggling glowing orbs,"For 1 hour, all creatures within 1 mile must succeed on a DC [[14+d4]] Wisdom save at the start of their turn or randomly switch positions with another creature in the area 🃏>",
<Clown’s Confetti,A burst of colorful confetti swirling in the air,"For 1 minute, creatures within 1 mile have disadvantage on attack rolls and spell saves as whimsical laughter disrupts focus 🤡>",
<Mirage of Madness,A swirling mist filled with floating playing cards,"For 10 minutes, creatures within 1 mile take psychic damage equal to [[2d8]] at the start of their turn but gain +2 to AC due to illusory doubles 🃏>",
<Fool’s Fortune,A tarot card showing a clown with a spinning wheel,The caster gains the effects of a *Boon or Bane* for the next hour within 1 mile radius—whichever the DM decides based on a DC [[15+d6]] Charisma check 🤹>,
<Chaos Ripple,A swirling vortex of multicolored smoke,"For 10 minutes, the terrain within one mile fluctuates unpredictably, altering all movement speeds by [[1d4]]x and causing all ranged attacks to have disadvantage 🎭>",
<Jester's Gambit,A painted jester cap with jingling bells,"For 1 hour, all creatures within one mile must succeed a DC [[15]] Cha save or be compelled to perform a random dance, unable to take hostile actions but granting advantage to allies' attacks against them 💃>",
<Wisdom of the Fool,An open book with blank pages,"Once pulled, everyone's Intelligence checks within one mile are replaced by their Charisma checks for 1 hour 🤡>",
<Cursed Laughter,A cracked porcelain clown mask,"All creatures within one mile hear uncontrollable laughter for 5 minutes, causing disadvantages on Stealth and Concentration checks unless a DC [[14]] Wisdom save is passed 😂>",
<Serendipity's Edge,"A glowing, sharp card with an exclamation mark","For 30 minutes, any critical failure or success on ability checks or saving throws within one mile is reversed 🃏>",
<Jester's Gambit,A colorful jester juggling glowing orbs,"For 1 hour, all creatures within one mile must succeed on a DC [[15]] Wisdom save at the start of their turn or perform a random harmless prank on a random creature nearby, such as tickling or miming 🤡>",
<Chaos Bloom,A vibrant flower exploding with multicolored sparks,"Plants and fungi within one mile grow uncontrollably, doubling in size and spreading rapidly for 1 hour, making passage difficult but also providing abundant healing herbs 🌸>",
<Mirror of Misfortune,A cracked hand mirror reflecting a twisted visage,"For 10 minutes, all ranged attacks within one mile have their damage type changed randomly to fire, cold, lightning, or acid each time they hit 🔮>",
