Card Name,Depiction,Card Effect,Status
<Jester's Mockery,A colorful jester taunting a fallen noble,All enemies within 30 feet must succeed on a DC 15 Wisdom saving throw or have disadvantage on attack rolls and ability checks for 1 minute. 🤡>,
<King's Decree,A royal scepter struck down with radiant light,All enemies within 30 feet must succeed on a DC 16 Charisma saving throw or have disadvantage on saving throws for 1 minute ⚡>,
<Court’s Sentence,A king pointing a scepter at an enemy,All enemies within 30 feet must succeed on a DC 16 Constitution saving throw or be poisoned for 1 minute 🏰>,
<King's Edict,A stern king pointing from his throne,Choose one creature within 30 feet,
<King’s Decree,A regal king points down at a trembling knight,Choose one enemy within 30 feet who must roll [[2d6+3]] and subtract that amount from their movement speed and attack rolls until their next turn 👑>,
<Royal Edict,A king’s hand pressing down hard on a parchment in front of a royal court,"Choose up to three enemies within 30 feet, each must succeed on a DC 14 Intelligence saving throw or be silenced (unable to cast spells or communicate vocally) for 1 minute 🎭>",
<Royal Decree,An ornate parchment held by a royal hand,Commands all enemies within 30 feet to make a Charisma saving throw or be muted (unable to cast spells with verbal components) and have disadvantage on Persuasion checks for 1 minute 📜>,
<Jester’s Mockery,A court jester taunting an armored knight,Each enemy within 30 feet has disadvantage on attack rolls against creatures other than you until the start of your next turn 🤡>,
<Court of Shadows,Dark figures gather in a royal hall,Each enemy within 30 feet has disadvantage on attack rolls and saving throws against being frightened for 1 minute 👑>,
<Jester’s Taunt,A mocking jester leaping and making faces,Each enemy within 30 feet has disadvantage on attack rolls until the end of their next turn 🤡>,
<Court’s Chill,A royal court scene with icy breath visible in the air,Each enemy within 30 feet has their speed halved and takes [[2d6]] cold damage at the start of their turn for 1 round ❄️>,
<Royal Rebuke,A jester with a mocking smile pointing at a distressed noble,Each enemy within 30 feet must make a Charisma saving throw DC 16 or have disadvantage on attack rolls and ability checks until their next turn 🤡>,
<Court Jester's Mockery,A jester waving a scepter with a sly grin,Each enemy within 30 feet must make a Charisma saving throw or be poisoned and have disadvantage on Wisdom saving throws for 1 minute 🤡>,
<Royal Decree,A parchment sealed with a royal emblem,"Each enemy within 30 feet must make a Charisma saving throw or be silenced, unable to cast spells with verbal components for 1 minute 📜>",
<King's Rebuke,An ornate scepter striking downwards,Each enemy within 30 feet must make a DC [[14]] Charisma saving throw or be frightened for 1 minute 🛡️>,
<Royal Rebuke,A stern king raising his scepter,Each enemy within 30 feet must make a DC [[14]] Wisdom saving throw or be frightened of the user for 1 minute 👑>,
<King's Edict,A royal decree sealed with a blood-red wax seal,"Each enemy within 30 feet must make a DC [[16]] Charisma saving throw or have their attack rolls cursed, subtracting [[1d4+1]] from each attack roll for 1 minute 📜>",
<Court Jester’s Mockery,A jester juggling fiery balls in a royal court,Each enemy within 30 feet must make a DC 14 Charisma saving throw or suffer disadvantage on attack rolls and ability checks for 1 minute 🤡>,
<Regal Gaze,King’s eyes glowing with authority,Each enemy within 30 feet must make a DC 16 Charisma saving throw or be frightened for 10 seconds 👑>,
<Royal Decree,A parchment with a royal seal,Each enemy within 30 feet must make a DC 16 Intelligence saving throw or have disadvantage on attack rolls for 1 minute 👑>,
<Royal Command,A king shouting orders with courtiers bowing,"Each enemy within 30 feet must make a Wisdom saving throw or be frightened for 1 minute. On a successful save, immunity to this effect for 24 hours 🏰>",
<Royal Rebuke,A stern king raising a scepter,Each enemy within 30 feet must succeed on a Constitution saving throw or take [[2d8]] psychic damage and be stunned until the end of your next turn 👑>,
<Royal Rebuke,A king pointing a scepter towards an enemy,Each enemy within 30 feet must succeed on a DC [[14]] Charisma saving throw or have their movement halved and attacks slowed (disadvantage on attacks) for 1 minute 🏰>,
<Court’s Condemnation,A judge’s gavel slamming down in a grand hall,Each enemy within 30 feet must succeed on a DC [[14]] Constitution save or be stunned until the end of their next turn ⚖️>,
<Royal Decree,An ornate scroll sealed with a waxed royal emblem,Each enemy within 30 feet must succeed on a DC 15 Wisdom saving throw or be frightened for 1 minute 👑>,
<The King's Men,Shadowy knights bearing royal banners,Each enemy within 30 feet takes [[2d6]] psychic damage and must succeed on a DC 15 Intelligence saving throw or be frightened for 1 minute 🏰>,
<Jester's Mockery,A jester making a mocking gesture in a lavish court,Enemies within 30 feet have disadvantage on attack rolls against anyone but you until the start of your next turn 🤡>,
<Banisher's Edict,A king pointing towards a gate with guards,Enemies within 30 feet must succeed a DC 14 Charisma saving throw or be frightened until the end of the target’s next turn 🏰>,
<Court Intrigue,Silhouettes whispering behind a throne,Enemies within 30 feet must succeed on a DC 16 Wisdom saving throw or be unable to take reactions and have disadvantage on Insight checks for 1 minute 🕵️>,
<Crown of Sorrows,A golden crown dripping with dark tears,Enemies within 30 feet take [[2d6]] psychic damage and have disadvantage on saving throws against charm and fear effects for 1 minute 😢>,
<Regal Decree,An ornate scroll bearing a royal seal,"Forces one enemy to make a Wisdom saving throw or be charmed for 1 minute, unable to take reactions or cast spells that require concentration 🤴>",
<Jester’s Rebuke,A laughing jester pointing mockingly at a foe,Forces one enemy within 30 feet to make a Wisdom saving throw or be frightened until the end of their next turn 🤡>,
<Royal Decree,A scroll sealed with a king’s emblem,One creature within 30 feet has their movement halved and attack rolls reduced by 2 for 1 minute. They may repeat the saving throw at the end of each of their turns 📜>,
<Edict of Silence,A royal herald holding up a palm,"One enemy is silenced for 1 minute and cannot speak, cast spells with verbal components, or communicate verbally 🤫>",
<King’s Decree,A scroll with a royal seal hovering above a defeated adversary,One enemy within 30 feet automatically fails one saving throw of its choice within the next minute unless they succeed on a DC [[14]] Constitution saving throw 📜>,
<Scepter of Silence,An ornate scepter cutting through the air,"One enemy within 30 feet is silenced, unable to cast spells or speak for 1 minute or until they succeed on a DC 15 Constitution saving throw 🤐>",
<King’s Isolation,A lone king sitting on a throne with shadows enveloping him,"One target is surrounded by magical silence and cannot communicate or receive help for 1 minute, making them effectively isolated 🏰>",
<Silent Decree,A royal scribe writing a command with invisible ink,Target cannot cast spells or use magical abilities until the end of your next turn 📝>,
<Faltering Monarch,A faltering king clutching his chest as his crown slips,Target creature has disadvantage on all attack rolls and saving throws until the start of your next turn ⚔️>,
<Jester's Mockery,A court jester taunting with a mischievous grin,Target creature must make a Charisma saving throw or have disadvantage on attack rolls and ability checks until the end of your next turn 🤡>,
<Regal Decree,"A king raising his scepter, subjects bowing reluctantly",Target creature must succeed on a Wisdom saving throw or be charmed and have disadvantage on attack rolls for 1 minute 👑>,
<Crown of Thorns,A golden crown wrapped in sharp thorns piercing the wearer,Target creature takes [[2d6]] psychic damage and suffers disadvantage on saving throws against fear effects for 1 hour 🌹>,
<Fallen Jester,A broken jester’s mask on the ground,"Target enemy has disadvantage on all saving throws and attack rolls until the end of their next turn, representing the loss of their wits and composure 🎭>",
<Sovereign’s Gaze,An imposing king’s eyes glowing with a hypnotic stare,Target enemy has disadvantage on attack rolls and ability checks for 1 minute or until they critically fail a saving throw 👀>,
<Jester’s Taunt,A court jester pulling a face,"Target enemy is compelled to use their action each turn to attack the nearest creature other than you for 1 minute, failing a Wisdom saving throw at the end of each of their turns 🤡>",
<Jester’s Mockery,A colorful jester mocking the opponent under the king’s gaze,Target enemy is cursed to take [[2d6]] psychic damage whenever they deal damage to you or an ally for 1 minute 🤡>,
<King’s Silence,A shadowy figure wearing a king’s crown with a finger to their lips,Target enemy is silenced (incapable of casting spells with verbal components or speaking) for [[1d4+2]] rounds 🤫>,
<Crown of Silence,A golden circlet that emits a faint shimmer,"Target enemy is silenced, unable to cast spells with verbal components or speak for 1 minute, ending early on a successful Constitution saving throw at the end of each of their turns 🤐>",
<Royal Edict,A scroll bearing a sealed royal crest flaming with authority,Target enemy must make a Constitution saving throw or have their movement speed halved and be unable to take reactions for 1 minute 🏰>,
<Regal Dismissal,A king dismissing a subject with a wave of his hand,Target enemy must make a DC 15 Strength saving throw or be pushed 15 feet away and knocked prone. 💥>,
<Jester’s Jeer,A mischievous jester mocking a knight,Target enemy must succeed on a Constitution saving throw or be poisoned and have their movement halved for 1 minute 🤡>,
<Royal Decree,A gilded scroll sealed with a wax crown,Target enemy must succeed on a DC [[15]] Wisdom saving throw or be unable to take reactions until the end of your next turn 👑>,
<Crippling Edict,"A royal scroll with a wax seal, glowing ominously",Target enemy must succeed on a DC 15 Constitution saving throw or be poisoned for 1 minute and have their movement speed halved 🛡️>,
<Iron Decree,A crowned hand slamming down a royal scepter,Target enemy must succeed on a DC 15 Wisdom saving throw or have their movement speed halved and be unable to take reactions until the start of your next turn 👑>,
<Royal Decree,An ornate scroll with a royal seal,Target enemy must succeed on a Wisdom saving throw or be unable to take reactions until the start of your next turn 🏛️>,
<Royal Decree,A majestic king pointing with a scepter amid courtiers,"Target enemy must succeed on a Wisdom saving throw or follow the user’s command on their next turn, losing their action if they disobey 🤴>",
<Regal Reproach,A stern king pointing from his throne,Target enemy must succeed on a Wisdom saving throw or have disadvantage on attack rolls for 1 minute 👑>,
<Jester’s Curse,A mischievous jester dropping a sack of rotten fruit,Target enemy suffers disadvantage on attack rolls and skill checks until your next turn 🤡>,
<King’s Gaze,A glowing lion emblem on a crown,Target enemy takes [[2d6]] psychic damage and is frightened of the user until the end of their next turn 🦁>,
<Mock Coronation,A discarded crown surrounded by laughing courtiers,Target has disadvantage on all saving throws and must repeat the last action they took on their next turn unless they succeed on a Wisdom saving throw 🤴🎭>,
<Jester's Mockery,A court jester pointing and laughing,Target has disadvantage on attack rolls and ability checks for 1 minute 🎭>,
<Jester's Mockery,A court jester pointing mockingly at a knight,Target has disadvantage on attack rolls and ability checks until the end of its next turn 🤡>,
<Jester's Mockery,A court jester laughing maniacally at a furious noble,Target has disadvantage on attack rolls and ability checks until the end of their next turn 🤡>,
<Crown of Chains,A golden crown with ethereal chains wrapping the head,Target has their movement speed halved and can't take reactions for 1 minute 👑>,
<Exile’s Banishment,A lone figure being cast out from a grand palace,Target is banished to a harmless demiplane for 1 minute or until they fail a Charisma saving throw at the end of their turns 🚪>,
<Banished to the Gallery,An empty throne in a vast hall,"Target is banished to a harmless demiplane for 1 round but hears echoes of the court’s judgment, leaving them stunned on return 👑>",
<Banished to the Court,A figure being dragged to a shadowy throne room filled with ghostly courtiers,"Target is banished to a spectral court, forcing them to miss their next turn and take [[2d8]] psychic damage as visions of judgement haunt them. 👻>",
<Iron Mask of Rule,A heavy iron mask crowned with spikes,"Target is blinded and has disadvantage on Dexterity saving throws for 1 minute, can repeat saving throw at end of each turn 🪖>",
<Crown of Shadows,A dark crown with flickering shadows beneath it,Target is blinded and has disadvantage on perception checks for 1 minute or until they take damage 🕶️>,
<Crown of Shadows,A golden crown veiled in dark mist,Target is blinded for 1 minute and takes disadvantage on attack rolls until they finish a long rest 😵>,
<King’s Gaze,A powerful monarch staring down their subject,"Target is cursed for 1 minute, suffering disadvantage on attack rolls and ability checks while you can see them 🧿>",
<Crown of Thorns,A spiked crown glowing with dark magic,"Target is cursed, taking [[1d8]] psychic damage at the start of each of their turns for 1 minute unless they succeed on a DC [[14]] Constitution saving throw 👑>",
<Edict of Silence,A royal scroll with a wax seal glowing ominously,"Target is deafened and unable to speak, causing disadvantage on Wisdom (Perception) checks and concentration checks until your next turn 🤐>",
<Exile's Banishment,A royal decree banishing a foe,Target is forced to move away from the user by 30 feet immediately and can't move closer on their next turn 👑>,
<King’s Edict,An imposing King pointing a scepter downward,Target is forced to subtract [[1d6+2]] from all attack rolls and saving throws for 1 minute ⚔️>,
<Banish to the Dungeons,A spectral jail cell appearing behind a foe,"Target is immobilized and can't benefit from any teleportation or movement abilities for the next minute, must repeat a DC 16 Constitution save at the end of each turn to end the effect ⛓>",
<Silencing Decree,An ornate royal scroll with a wax seal,Target is muted for 1 minute and can’t cast spells with verbal components or speak out loud 🔇>,
<Chained Sovereign,An imposing king shackled in heavy chains,"Target is restrained and suffers disadvantage on Dexterity saving throws until they or an ally breaks the shackles, or until the end of their next turn ⛓️>",
<King’s Silence,A regal hand raised in command,Target is silenced and unable to cast spells with verbal components for 1 minute or until they succeed on a DC 15 Constitution saving throw 🤐>,
<Cursed Jester’s Grin,A court jester with a sinister smile,Target makes a Charisma saving throw or becomes frightened of you for 1 minute and takes disadvantage on attack rolls against any target other than you 🤡>,
<King’s Wrath,A stern king raising a glowing sword,Target must make a DC [[15]] Strength saving throw or be pushed 15 feet away and knocked prone 👑>,
<Royal Decree,A king pointing sternly from his throne,"Target must succeed a DC [[15]] Wisdom saving throw or be compelled to obey your verbal commands on their next turn, losing their action otherwise 🏰>",
<Royal Edict,An ornate scroll with a sealed wax stamp,Target must succeed a DC [[15]] Wisdom saving throw or have their movement halved and attacks disadvantaged until the end of their next turn ⚖️>,
<Royal Edict,A king sternly raising a jeweled scepter,Target must succeed a DC 15 Wisdom save or be paralyzed with fear for 1 round 👑>,
<Royal Decree,A grand king pointing a scepter adorned with jewels,"Target must succeed a DC 15 Wisdom saving throw or be compelled to obey your last spoken command within the next minute, as if under a command spell 🤴>",
<Royal Decree,A king slamming a seal onto a parchment,Target must succeed a DC 15 Wisdom saving throw or be forced to use its action only to defend itself for 1 minute 🛡️>,
<Royal Edict,A king holding a scepter pointed at a kneeling courtier,Target must succeed on a DC [[15]] Wisdom saving throw or be silenced and unable to cast spells with verbal components for 1 minute 🤐>,
<Jester’s Malice,A painted jester grinning wickedly,Target must succeed on a DC 14 Charisma saving throw or be forced to use its reaction every turn to attack an ally for the next minute 🤡>,
<Royal Decree,A king pointing an accusatory finger amid court whispers,"Target must succeed on a DC 15 Wisdom saving throw or be charmed by the user for 1 minute, unable to attack or cast harmful spells against them 👑>",
<Crown of Command,A golden crown radiating authority,Target must succeed on a DC 15 Wisdom saving throw or be charmed by you for 1 minute and cannot take reactions 🧠>,
<King's Command,A stern king points his scepter authoritatively,Target must succeed on a DC 15 Wisdom saving throw or be stunned until the end of their next turn 👑>,
<Heavy Crown,A massive golden crown crushing the head of a suffering figure,Target must succeed on a DC 15 Wisdom saving throw or be stunned until the start of their next turn 👑>,
<Iron Decree,A parchment sealed with a grand king's signet,Target must succeed on a DC 15 Wisdom saving throw or have disadvantage on attack rolls and ability checks for 1 minute 👑>,
<Royal Decree,A king pointing with authority,"Target must succeed on a DC 16 Charisma saving throw or be compelled to use their action to do nothing but obey your command on their next turn, lasting 1 round 📜>",
<King's Decree,An imposing king pointing his scepter with authority,"Target must succeed on a DC 16 Charisma saving throw or be stunned for 1 round, as they are overwhelmed by the king's overwhelming command. 👑>",
<Scepter’s Command,A golden scepter emitting a faint hum,"Target must succeed on a DC 16 Wisdom saving throw or be charmed by you until the end of your next turn, taking disadvantage on attack rolls against creatures other than you 👑>",
<The King's Command,A regal figure pointing a scepter with arcane runes,"Target must succeed on a DC 16 Wisdom saving throw or be forced to use their next action to do nothing but listen, effectively incapacitated for their next turn ⚔️>",
<Crown of Command,A golden crown emitting a dark aura,Target must succeed on a Wisdom saving throw or be charmed and unable to attack the card user for 1 minute 👑>,
<Commanding Presence,A regal king pointing his scepter,Target must succeed on a Wisdom saving throw or be charmed and unable to take reactions until the end of their next turn 👑>,
<Crown of Thorns,A golden crown twisted with dark vines,Target suffers [[1d6+2]] psychic damage and takes a penalty to AC equal to your spellcasting modifier for 1 minute 🌹>,
<Crown of Thorns,A glowing green crown floating above a chained figure,"Target takes [[2d6]] poison damage and is poisoned for 1 minute, suffering disadvantage on attack rolls 👑>",
<Scepter’s Oppression,A golden scepter glowing with dark energy,Target takes [[2d6]] psychic damage and has disadvantage on saving throws against being charmed until the end of your next turn 👑>,
<Jester’s Mockery,A mischievous jester pointing and laughing,Target takes [[2d6]] psychic damage and has disadvantage on Wisdom (Perception) checks until the end of their next turn 🤡>,
<Crown of Thorns,A thorned royal crown soaking in blood,Target takes [[2d6]] psychic damage and suffers disadvantage on all saving throws for 1 minute 🌹>,
<Royal Condemnation,A king raising a scepter as subjects bow in fear,Target takes [[2d6+3]] psychic damage and has disadvantage on saving throws until your next turn 👑>,
<Crown of Thorns,"A regal crown entwined with sharp, glowing thorns",Target takes [[2d8]] piercing damage and has disadvantage on attack rolls for 1 minute 🌹>,
<Crown of Thorns,A golden crown entwined with sharp thorns,Target takes [[2d8]] psychic damage and is blinded until they succeed on a DC [[14]] Constitution saving throw 🌹>,
<Sovereign’s Rebuke,A king slamming a heavy scepter onto a chessboard,Target takes [[2d8]] psychic damage and is paralyzed until the end of their next turn 🛡️>,
<Assassin's Mandate,A hooded figure with a royal signet ring dripping poison,Target takes [[3d6]] necrotic damage and can’t regain hit points until the start of your next turn ⚔️>,
<Jester’s Mockery,A colorful jester laughing maniacally,Target within 30 feet takes disadvantage on all attack rolls and saving throws until the end of their next turn 🤡>,
<Crown of Oppression,A heavy golden crown pulsating with dark energy,Target’s movement speed is halved and attack rolls against them are made with advantage until they use their action to remove the crown or succeed on a DC [[14]] Strength check 👑>,
<Crown of Thorns,A jeweled crown entangling its wearer in dark vines,Target's movement speed is halved and attack rolls have disadvantage for the next minute. 🌿>,
<Crown of Chains,A royal crown emitting dark chains wrapping around a figure's head,Target's movement speed is halved and they have disadvantage on attack rolls until your next turn ⛓️>,
<Crown of Chains,A golden crown entwined with dark chains,Target’s movement speed is halved and they have disadvantage on Dexterity saving throws until the end of their next turn ⛓️>,
<Broken Regal Chains,Fractured iron chains with royal insignia,Target’s movement speed is halved and they have disadvantage on saving throws against being restrained or grappled for 1 minute ⛓️>,
<Jester's Fall,A mischievous jester tripping a noble,Target’s movement speed is reduced by half and they have disadvantage on Dexterity saving throws for 1 minute 🤡>,
<Jester’s Silence,A court jester holding a finger to their lips in a shushing gesture,"Target’s speech is magically silenced for 1 minute, preventing verbal spell components and communication 🤐>",
<Scepter’s Wither,A glowing scepter emitting dark energy towards a foe,"Target’s weapon attacks deal [[1d8+2]] less damage for 1 minute, and they cannot regain hit points during this time 🗡>",
<Silent Decree,A sealed parchment with a royal wax seal,"Targets an enemy who can’t speak or cast spells with verbal components for 1 minute, saving throw at the end of each of their turns 📜>",
<King’s Command,A seated monarch raising a scepter,Targets within 30 feet must succeed DC [[16]] Constitution saves or have their healing reduced by half for 1 minute 🛡️>,
<Edict of Silence,A royal decree scroll sealed with a king’s signet,The target cannot cast spells or speak verbal components for 1 minute or until they succeed a DC 15 Wisdom saving throw 🤐>,
<Crown of Silence,A golden crown emitting a soft hush over a defeated knight,The target cannot speak or cast spells with verbal components for 1 minute. They can attempt a Constitution saving throw at the end of each of their turns to end the effect 🤫>,
<Sovereign's Dismissal,A royal hand waving dismissively,The target creature within 30 feet loses their movement speed and cannot use reactions until the start of your next turn 🛑>,
<Jester’s Mockery,A court jester making a mocking gesture,The target has disadvantage on all saving throws against being charmed or frightened for 1 minute 🤡>,
<Jester’s Taunt,A jester mocking an armored knight,The target has disadvantage on attack rolls and ability checks against you until the start of your next turn 🤡>,
<Jester's Mockery,A sinister jester laughing with a twisted grin,The target has disadvantage on attack rolls and ability checks for 1 minute as their confidence is sapped by mocking illusions 🤡>,
<Jester's Mockery,A court jester pulling a face while pointing,The target has disadvantage on attack rolls and ability checks for 1 minute as their confidence is shattered 🤡>,
<Jester’s Mockery,A court jester glaring with malicious glee,The target has disadvantage on attack rolls and ability checks for 1 minute as they are riddled with self-doubt 🤡>,
<Jester's Mockery,A court jester pulling a mocking face,The target has disadvantage on attack rolls and ability checks for 1 minute as they are taunted and humiliated 🤡>,
<Jester's Taunt,A laughing court jester pointing mockingly,The target has disadvantage on attack rolls and ability checks until the end of their next turn 🤡>,
<Crown of Burdens,"A heavy, jeweled crown that sinks onto the target’s head","The target has disadvantage on Strength and Dexterity checks and saves for 1 minute, and their speed is reduced by 10 feet ⚖️>",
<Regal Languish,"A regal figure seated on a golden throne, casting a shadow over a kneeling adversary",The target has their movement speed halved and disadvantage on attack rolls for 1 minute 👑>,
<Exile’s Gaze,A ghostly king points an accusing finger,"The target is banished mentally, causing them to lose their reaction and have disadvantage on concentration checks for 1 minute 👁️>",
<Banished Peer,Silhouettes of fallen nobles disappearing into shadows,The target is banished to a harmless demiplane until the end of your next turn. They may attempt a Charisma saving throw to resist 🕳️>,
<Jester’s Mockery,A court jester jeering wildly,The target is charmed but takes disadvantage on all saving throws until the end of your next turn 🤡>,
<Banish to Court,A spectral throne appearing in front of the target,The target is compelled to move towards the closest allied “King” card user and suffers disadvantage on attack rolls until the end of their next turn ♟️>,
<Crown of Thorns,A golden crown twisted with sharp black thorns,"The target is cursed, suffering [[1d8]] psychic damage at the start of each of their turns and has disadvantage on attack rolls for 1 minute 🌹>",
<Crown of Thorns,A golden crown entwined with dark thorns,"The target is cursed, taking [[1d8]] necrotic damage at the start of each of their turns for 1 minute 🌹>",
<Throne of Isolation,A golden throne surrounded by silence,The target is deafened and cannot communicate telepathically or verbally for 1 minute 🤐>,
<Exile’s Banishment,A royal guard pointing the way out,The target is pushed 20 feet away from you and suffers a -2 penalty to movement and attack rolls until the start of your next turn 🏰>,
<Banished to the Court,A shadowy figure being dragged into a spectral court,The target is restrained by invisible chains for 1 minute,
<Jeweled Chains,Ornate chains adorned with royal gemstones ensnaring a figure,"The target is restrained by magical chains for 1 minute, requiring a Strength saving throw each turn to break free ⛓>",
<Crown of Shackles,A glowing crown emitting chains,"The target is restrained by spectral chains for 1 minute, breaking free requires a successful DC 15 Strength check at the end of their turns 🤴>",
<Royal Chains,Glowing silver chains forming a crown shape,"The target is restrained by spectral chains for 1 minute, must succeed on a Strength saving throw at the end of each of its turns to free itself ⛓️>",
<Crown of Chains,A heavy iron crown locking onto a target's head,The target is restrained for 1 minute unless they succeed a DC 15 Strength saving throw at the end of each of their turns ⛓️>,
<Scepter’s Grasp,A glowing scepter wrapped in chains,The target is restrained for 1 round and takes [[2d6]] psychic damage as the scepter’s will binds them 🔗>,
<Scepter's Grasp,A jewel-encrusted scepter emitting dark chains,"The target is restrained magically for up to 1 minute, breaking free requires a successful Strength or Dexterity saving throw at the end of their turns ⛓️>",
<Throne of Silence,An empty throne shrouded in shadow,The target is silenced and cannot cast spells with verbal components for 1 minute or until they take damage 🤫>,
<Jester's Silent Jest,A court jester holding a mocking mask,"The target is silenced and stunned until the end of their next turn, as the jester's curse muffles their voice and confuses their mind 🤡>",
<Edict of Silence,An ornate scroll with a royal seal,"The target is Silenced for 1 minute or until they take damage, unable to cast spells with verbal components 🤫>",
<Banish the Usurper,A crowned figure being expelled by armored guards,"The target must make a Charisma saving throw (DC 16) or be banished to a harmless demiplane for 1 minute, returning at the start of your next turn 👑>",
<Jester’s Mockery,A sinister jester grinning while taunting a foe,The target must make a Charisma saving throw or have disadvantage on attack rolls and saving throws until the start of your next turn 🤡>,
<Jester’s Jeer,A mocking jester laughing at a fallen knight,"The target must make a DC [[13]] Charisma saving throw or be frightened of you until the end of their next turn, causing them to use their action to flee 👹>",
<Royal Rebuke,A king sternly pointing a finger,The target must make a DC 16 Constitution saving throw or be stunned until the end of their next turn 🤴>,
<Royal Decree,A king pointing a scepter accusingly,The target must succeed a DC [[15]] Wisdom saving throw or be unable to take reactions until the start of your next turn 👑>,
