Card Name,Depiction,Card Effect
<False Command,A mouth emitting shadowy words,"Force one creature within 30 feet to reroll its next attack roll or saving throw, must use the new result [[1d20]] 🎭>"
<Mind Maze,An intricate labyrinth pattern over a glowing orb,"Force one creature within 60 ft. to make a DC 15 Intelligence saving throw or be confused (as the Confusion spell) for 1 minute, once per long rest 🧠>"
<Whispered Lies,"Two masks, one smiling, one frowning, whispering to each other",Force one target within 30 feet to reroll their next attack roll or saving throw with disadvantage
<Gilded Tongue,A golden serpent coiled around a mouth,Gain advantage on all Deception checks for 10 minutes 🐍>
<Silent Footfall,A pair of footprints vanishing in a fog,Gain advantage on Dexterity (Stealth) checks and creatures have disadvantage on Perception checks to detect you for 1 hour 👣>
<Veil of Falsehood,"A mask split in two halves, one smiling and one frowning",Gain advantage on one Charisma (Deception) check and all creatures must succeed on a DC [[14]] Intelligence saving throw or believe your falsehood for 10 minutes 🎭>
<Silver Tongue,A silver tongue on a puppet,"Gain advantage on one Charisma (Deception) or (Persuasion) check, usable once per short rest 🗣>"
<Silver Tongue,A silver serpent coiling around a set of lips,Gain advantage on one Charisma (Deception) or Persuasion check made in the next 10 minutes 🐍>
<Silver Tongue,A mouth woven from silver threads,Gain advantage on one Deception or Persuasion check and roll a [[1d8]] temporary hit points 💬>
<Silver Tongue,A silver serpent coiled around a tongue,Gain advantage on Persuasion and Deception checks for 1 hour 🐍>
<Veil of Shadows,An obscured face behind a swirling mist,"Gain advantage on Stealth checks for the next 10 minutes, and creatures have disadvantage on Perception checks to spot you 👤>"
<Chameleon Cloak,A cloak blending into the environment perfectly,Gain advantage on Stealth checks for the next hour as you blend into surroundings 🦎>
<Shadow Puppet,A dark hand manipulating a marionette,Gain control of one target's movement for 1 round
<Veil of Lies,A swirling mist obscuring a face,Gain invisibility and silence for 1 minute or until you attack or cast a spell 🤐>
<Veil of Whispers,"A shadowy figure with fingers pressed to lips, surrounded by swirling mist","Grants invisibility for 1 minute or until you attack or cast a spell, advantage on stealth checks during this time 👤>"
<Veil of Shadows,A swirling dark mist enveloping a cloaked figure,"Grants invisibility for 1 minute or until you attack or cast a spell, usable once per short rest 🕶️>"
<Veil of Whispers,A shadowy figure with a swirling mist partially obscuring their face,"Grants invisibility to you or one ally for 1 minute or until you attack or cast a spell, advantage on Stealth checks during this time 🕶️>"
<Veil of Whispers,A shadowy figure cloaked in swirling mists,Grants you advantage on Stealth checks and causes enemies to have disadvantage on Perception checks to detect you until your next turn 👤>
<Veil of Whispers,A translucent masked face obscured by swirling smoke,Grants you advantage on Stealth checks and you can cast the *Minor Illusion* cantrip at will for 1 hour 🕶>
<Mirror’s Gambit,"A hand holding a deceptive, shifting mask","Once per long rest, create an illusory double of yourself that distracts enemies, imposing disadvantage on attack rolls against you for 1 minute 🎭>"
<Mask of a Thousand Faces,"A shifting, featureless mask","Once per long rest, you can cast Disguise Self on yourself without using a spell slot, lasting 1 hour 🦹>"
<False Tongue,A tongue made of twisting shadows,"Once per long rest, you can reroll any one charisma (deception) check with advantage, sending a lie that is hard to doubt 👅>"
<False Tongue,A snake coiling around a silver tongue,"Once per short rest, cast a charm effect that causes a creature to believe a single statement you make until they succeed a DC 15 Wisdom saving throw 🐍>"
<Mirror's Jest,A twisted mask reflecting a distorted face,"Once per short rest, force a creature you can see to reroll one attack roll or saving throw with disadvantage, must use new roll 🎭>"
<Mirror's Rebuke,A cracked mirror reflecting a distorted face,"Once per short rest, when hit by an attack, you can force the attacker to make a DC [[15]] Wisdom save or be blinded until the end of their next turn 🪞>"
<Whispered Misdirection,A shadowy figure pointing behind an unsuspecting character,"Once per short rest, you can force one creature to reroll its attack roll or ability check and use the new roll instead 🌀>"
<Mask of Many Faces,A theatrical mask shifting between expressions,"Once within the next hour, cast Disguise Self without expending a spell slot, altering your appearance including voice and mannerisms 🤡>"
<Silver Tongue,A serpent coiled around a golden tongue,"Once within the next hour, gain advantage on any Deception check or Charisma saving throw involving speech 🐍>"
<Mirror Mask,A cracked reflective mask showing multiple faces,"Once within the next hour, when targeted by a creature, you can force them to reroll their attack with disadvantage and you gain invisibility until the start of your next turn 🪞>"
<Echo of Lies,A faint voice whispering from nowhere,"Once within the next hour, you can cast the *minor illusion* cantrip without requiring concentration, and your illusion sounds convincingly real 🎭>"
<Whispering Shadows,Shadowy tendrils emitting faint voices,"Target a creature within 30 feet to make a DC 15 Wisdom saving throw or be distracted, granting disadvantage on their next attack roll or saving throw 🖤>"
<Hoodwink,A cartoonish jester with a hand over its eyes,Target an enemy within 60 feet who must make a DC 14 Intelligence saving throw or have their next attack roll made with disadvantage 🤡>
<Echo Step,A shadowy footprint that fades behind the subject,Target can teleport up to 30 feet to an unoccupied space they can see once within the next minute 💨>
<Veil of Whispers,A shadowed figure wearing a mask that blends into the darkness,"Target gains invisibility for 1 minute or until they make an attack or cast a spell, advantage on Stealth checks while invisible 👤>"
<Whispered Doubt,A whispering mouth with faint echoes around,Target must succeed a DC [[14]] Wisdom saving throw or be unable to take reactions until the end of their next turn 🤫>
<Tongue-Tied,A mouth sealed by glowing threads,Target must succeed on a DC [[15]] Constitution saving throw or be unable to speak or cast spells with verbal components for 1 minute 🤐>
<False Footing,A pair of footprints fading into mist behind a cloaked figure,Target must succeed on a DC [[15]] Wisdom saving throw or lose their next attack as their sense of direction becomes warped 👣>
<Whispered Falsehood,A smiling mouth with a tongue slipping out like smoke,"Target must succeed on a DC 15 Wisdom saving throw or be charmed, believing your next spoken lie for 1 hour 💬>"
<Whispered Falsehood,"A mouth silently emitting faint, glowing words","Target must succeed on a DC 15 Wisdom saving throw or believe a false statement you speak for 10 minutes, affecting their decisions 🤥>"
<Mirror's Glance,A shattered mirror reflecting a distorted face,"Target must succeed on a DC 15 Wisdom saving throw or see an illusory double of themselves that moves independently for 1 minute, granting disadvantage on attack rolls and ability checks 🤡>"
<Whispered Doubt,A shadowy figure whispering into a captive's ear,Target must succeed on a Wisdom saving throw or treat the next 10 minutes of all their perception checks as if they have disadvantage 🤫>
<False Step,A foot slipping into an illusory pit,"Teleport up to 15 feet to an unoccupied space you can see, leaving behind a blinding illusion that grants disadvantage on opportunity attacks until your next turn 🌀>"
<Mirage Step,A pair of feet leaving ghostly afterimages,Teleport up to 30 feet to an unoccupied space you can see
<Flickerstep,A blur of footsteps fading away,Teleport up to 30 feet to an unoccupied space you can see and become invisible until the start of your next turn 🌪️>
<Mirror Step,A figure stepping through a cracked mirror,"Teleport up to 30 feet to an unoccupied space you can see as an illusion distracts enemies around your departure and arrival points, giving disadvantage on attacks against you until the start of your next turn ✨>"
<Mirrorstep,A figure stepping through a shimmering mirror,Teleport up to 30 feet to an unoccupied space you can see that is lightly obscured or in dim light 🌫️>
<Shadow Step,"A pair of dark, ethereal footprints","Teleport up to 30 feet to an unoccupied space you can see within dim light or darkness, leaving behind a fading illusion of yourself for 1 round 👣>"
<Mirage Step,A blurred figure stepping through a veil,"Teleport up to 30 feet to an unoccupied space you can see, leaving behind a fleeting illusion that distracts enemies, granting disadvantage on opportunity attacks until your next turn 🌫️>"
<Mirage Step,A footprint vanishing into thin air,"Teleport up to 30 feet to an unoccupied space you can see, leaving behind a harmless illusion of yourself fading away 🦶>"
<Mirage Step,A shadowy figure stepping through a broken mirror,"Teleport up to 30 feet to an unoccupied space you can see, leaving behind an illusory double that lasts until the start of your next turn 👣>"
<Echo Step,A shadowy figure splitting into two blurry images,"Teleport up to 30 feet to an unoccupied space you can see, leaving behind an illusory double that lasts until your next turn 🚶‍♂️>"
<Mind Maze,An open book with labyrinth patterns flowing from its pages,Trap all creatures in a 15-foot radius to treat all terrain as difficult and have disadvantage on Perception checks for 1 minute 🧠>
<Silent Charade,A masked jester with a finger over their lips,"You and allies in a 20-foot radius move silently, gain advantage on Stealth checks for 10 minutes 🤫>"
<Veil of Shadows,A cloaked figure blending into a foggy background,You and up to three allies gain advantage on Stealth checks for 1 hour or until you attack or cast a spell 🌫️>
<Veil of the Trickster,"A swirling mask half smiling, half frowning","You and up to three allies within 15 feet gain advantage on all stealth and deception checks for 1 hour, and can briefly become invisible once during that time for up to 1 minute (ends early if you attack or cast a spell) 🎭>"
<Veil of Shadows,A swirling dark mist enveloping a lone figure,"You and up to three willing creatures within 10 feet are shrouded in magical darkness for 1 minute, unable to be seen but can see out of the darkness as normal 🌑>"
<Veil of Whispers,A translucent mask half covering a face,"You become invisible and silently mimic the voice of any creature within 30 feet for up to one minute, or until you attack or cast a spell 🎭>"
<Veil of Falsehood,A swirling mist obscuring a shadowy figure,You become invisible for 1 minute or until you attack or cast a spell 🌀>
<Veil of Whispers,A swirling mist cloaking a figure,"You become invisible for 1 minute or until you attack or cast a spell, once per long rest 👻>"
<Veil of Shadows,"A swirling cloud of smoke with faint, shifting faces",You become invisible to the naked eye for 1 minute or until you attack/make a spell attack
<Veil of Shadows,A swirling dark mist enveloping a figure,You become invisible until the start of your next turn or until you attack or cast a spell 🌫️>
<Mirror Slip,A cracked glass reflecting a shadowy figure,"You become invisible until the start of your next turn or until you attack or cast a spell, gaining advantage on the next Deception check you make 👤>"
<Veil of Shadows,A swirling wisp of dark mist enveloping a figure,"You become invisible until the start of your next turn or until you attack or cast a spell, perfect for slipping away unnoticed 👤>"
<Veil of Shadows,A swirling black mist enveloping a person,"You become invisible until you attack or cast a spell, or for up to 1 minute 🕶️>"
<Mask of Many Faces,A blank theatrical mask,"You can cast *disguise self* at will without expending a spell slot, allowing you to assume any humanoid appearance for 1 hour 🎭>"
<Silver Tongue,A serpent coiled around a silver forked tongue,"You can cast *Friends* spell at will for the next hour, and gain +5 bonus to Persuasion checks 🐍>"
<Slip Away,A figure dissolving into smoke,You can cast *misty step* once without expending a spell slot
<Whisper of Shadows,A swirling shadow whispering into an ear,You can cast *Silence* centered on a creature within 30 feet
<Silent Confession,A folded letter with a sealed wax stamp,"You can cast *Suggestion* once without using a spell slot, requiring a DC [[14]] Wisdom save to resist, usable once per long rest 🤫>"
<Tongue of Lies,A serpent-like tongue whispering secrets,"You can cast Disguise Self at will for 1 hour without expending a spell slot, and advantage on Deception checks during this time 🐍>"
<Veil of Whispers,A shadowy figure speaking with a blurred mouth,You can cast Disguise Self at will for the next hour without using a spell slot 🎭>
<Veil of Untruths,A smiling mask flickering in and out of visibility,"You can cast Disguise Self at will, and creatures have disadvantage on saving throws against your illusions for 10 minutes 🎭>"
<Whispering Veil,A shadowy figure melting into a misty cloud,You can cast Disguise Self on yourself at will for 1 hour without expending a spell slot 🎭>
<Silent Whisper,A shadowy figure covering their mouth while a faint wisp of smoke drifts away,"You can cast silence centered on a creature for 1 minute, no save, once per long rest 🤫>"
<Tongue of Serpents,A serpentine tongue flickering with deceit,You can cast Suggestion once within the next hour without using a spell slot
<The Puppetmaster,Strings attached to a marionette hand,"You can command one creature within 30 feet to repeat a simple action (like move or speak a phrase) on their next turn, no save, once per long rest 🕹️>"
<False Promise,A glowing contract with shifting words,"You can create a one-minute illusion that convinces a target they heard or saw something you say, requiring a DC [[15 + your proficiency bonus]] Insight saving throw to disbelieve 📜>"
<Veil of Lies,A dark cloak swirling with shifting images,"You can impose disadvantage on the next attack roll or perception check against one creature within 30 ft., once per short rest 🎭>"
<Ephemeral Footsteps,Fading footprints leading into darkness,"You can teleport up to 30 feet to an unoccupied space you can see, leaving behind illusory duplicates that vanish after 1 turn 🦶>"
<Misleading Glance,A pair of eyes looking over their shoulder,You can use a bonus action to impose disadvantage on the next attack roll against you this turn by redirecting the attacker's focus 🎯>
<Veil of Lies,A veil made of shifting smoke,You cast *Disguise Self* on yourself that also alters your voice
<Whispered Facade,A masked face fading into shadows,"You cast an illusory duplicate of yourself that moves independently for 1 minute, causing attackers to have disadvantage on attack rolls against you until the duplicate is destroyed or duration ends 🎭>"
<False Trail,"A winding path of glowing, misleading footprints","You cast Pass Without Trace on yourself and one ally within 30 feet, lasting 1 hour, stealth checks increased by +10 🕵️>"
<Silent Gambit,A playing card half-hidden behind a masked face,"You cast silence centered on yourself, extending the effect to a 10-foot radius for up to 10 minutes, during which you can move silently and cannot be overheard 🤫>"
<Chaos Vein,A twisting serpent made of smoke,You cause a magical confusion in an area 15-ft radius
<Twisting Paths,A labyrinthine maze made of twisting roads,"You cause all creatures within a 15-foot radius to become disoriented, treating all movement as difficult terrain and attacks against targets in the area have disadvantage for 1 round 🔀>"
<False Trail,A winding path covered in scattered leaves,"You create a 20-foot radius area of illusory terrain that obscures vision and leaves false footprints for 10 minutes, granting enemies disadvantage on Perception checks to track anyone passing through 👣>"
<Whispered Shadow,A shadowy figure whispering into an ear,"You create a minor illusion to distract one creature within 30 feet, giving it disadvantage on its next attack roll or saving throw 🕶>"
<False Echo,An ethereal mouth whispering into silence,"You create a perfect illusionary sound or phrase audible only to one target within 60 feet, distracting them and imposing disadvantage on their next attack or skill check 👂>"
<Echoing Lie,A whispering mouth surrounded by shadowy waves,"You create a silent, illusory duplicate of yourself that mimics your movements for 1 minute, causing attackers to have disadvantage on attacks against you 🎭>"
<Veil of Smoke,A swirling black smoke forming a mask,"You create an illusory disguise that changes your appearance for 1 hour or until you dismiss it, granting advantage on deception checks 🎭>"
<Mirror Misdirection,Two identical faceless figures leaning away from each other,"You create an illusory double of yourself that mimics your movements within 30 feet for 1 minute, imposing disadvantage on attack rolls against you 🚶‍♂️>"
<False Reflection,A mirror showing a distorted face,"You create an illusory double that mimics your actions for 1 minute, drawing enemy attacks to it with a +2 bonus to AC"
<Mirror Veil,A shimmering face split into multiple reflections,You create illusory duplicates of yourself that impose disadvantage on attack rolls against you until your next turn 🪞>
<Mirror’s Jest,A cracked mirror reflecting multiple distorted faces,"You create illusory duplicates of yourself that last for 1 minute, granting attackers disadvantage on attack rolls against you"
<False Trail,A winding path of fading footprints,"You create illusory footprints leading away from your location for 10 minutes, causing anyone tracking you within 60 feet to follow the false trail instead 🚶>"
<Web of Lies,A tangled spider web with colors shifting,You ensnare one creature in an illusory web causing them to be restrained by their mistrust and confusion
<Echoes of Truth,Ghostly faces whispering in a circle,"You force each creature of your choice in a 15-foot radius to question their own senses, imposing disadvantage on attack rolls and ability checks until the start of your next turn 🌀>"
<False Command,A twisted tongue extending from a closed mouth,"You force one creature to make a Charisma saving throw or obey a simple spoken command on their turn, lasting 1 round only, concentration not required 🔮>"
<Siren's Deceit,"A glowing, seductive smile with cracked lips",You force one creature to make a DC 15 Charisma saving throw or be charmed and unable to distinguish friend from foe for 1 minute
<Echoing Lie,A mouth emitting colorful sound waves,"You force one creature within 60 feet to repeat the last sentence they said in a distracting echo, imposing disadvantage on their next attack or spell cast 📢>"
