<Illusory Spotlight,"A floating, shimmering spotlight illuminating a circle on the ground",Create a 15-foot radius sphere of bright light that dazzles enemies. Creatures starting their turn in the area must succeed on a DC [[13 + d4]] Dex save or be blinded until the end of their next turn 🎭>
Curtain Call,A red velvet curtain pulled aside by golden ropes,Create a 15-foot radius sphere of magical illusionary curtains that grant invisibility to allies inside while imposing disadvantage on attack rolls of enemies targeting anyone within the sphere 🎭>
Magician’s Spotlight,A focused beam of bright white light on a figure,"Create a 15-foot radius spotlight that highlights creatures, granting advantage on all attack rolls against enemies in the light and disadvantage on Stealth checks for those inside for 1 minute✨"
Harlequin’s Veil,A swirling burst of vibrant ribbons and confetti,"Create a 15-foot radius zone of difficult terrain filled with dancing ribbons, slowing enemies' movement by half and imposing disadvantage on Dexterity saving throws to pass through for 1 minute 🤹"
<Juggling Orbs,Floating glowing orbs arranged in a circle,Create a 15-foot radius zone of floating orbs that grant allies inside advantage on Dexterity saving throws and impose disadvantage on ranged attacks against them for 1 minute 🤹>
Carnival Mirror,An ornate mirror reflecting distorted versions of viewers,"Create a 15-foot radius zone of illusionary duplicates of creatures, granting all affected creatures advantage on Stealth checks and disadvantage on enemy attacks against them for [[1d6]] rounds 🤹‍♂️"
Mirror Maze,A mirrored hallway twisting infinitely,"Create a 15-foot radius zone of illusory walls. Enemies entering the zone must succeed on a DC [[14 + d6]] Intelligence save or be disoriented, granting disadvantage on attack rolls for 1 minute 🤹>"
Carnival Mirror Maze,A hall of twisted mirrors reflecting fragmented lights,Create a 15-foot radius zone of mirrored illusions for 1 minute where enemies must succeed on a DC [[15 + d4]] Int save or have disadvantage on attack rolls and Perception checks while inside 🎭>
Acrobatic Tethers,Colorful ribbons and ropes fly through the air in a lively dance,Create a 15-foot radius zone that grants allies in it the ability to jump or climb with double their normal movement speed for 1 minute 🤸>
Magician’s Trap,An open magician’s box with swirling smoke escaping,Create a 15-foot radius zone where enemies must succeed on a DC [[14+d6]] Dexterity save or be restrained by spectral ribbons until they break free or the trap ends in 1 minute 🎭>
<Juggler’s Blitz,A vibrant toss of glowing orbs in midair,"Create a 15-foot radius zone where every attack roll against creatures in the area is made with disadvantage as the orbs distract and confuse foes, lasting for 1 minute 🎪>"
Curtain Call,Heavy velvet curtains drop suddenly from above,Create a 15-foot-radius sphere of thick velvet curtains that provide full cover and heavily obscure vision until the start of your next turn 🎟️
Jester’s Bounce,A colorful clown spring with exaggerated coil,Create a 15-foot-radius zone where all creatures gain advantage on Dexterity (Acrobatics) checks and can jump an extra 10 feet until the end of your next turn 🤡
Threaded Bastion,Giant glowing threads weave rapidly into a barricade,Create a 20-foot line of finely woven magical threads acting as half cover and difficult terrain until the start of your next turn🧵>
Magician’s Cover,A magician’s cape billowing dramatically,Create a 20-foot line of magical cape-like cover that grants half cover to creatures behind it for [[2d4]] rounds 🎩>.
<Looming Veil,A translucent net of shimmering threads spreads in an arc,"Create a 20-foot long, 10-foot high line of spectral threads that grant half cover to allies behind it for 1 minute or until destroyed🕸️>"
<Silk Curtain Veil,A shimmering silk curtain unfurling across a battlefield,"Create a 20-foot long, 10-foot high wall of translucent silk that grants three-quarters cover and heavily obscures all creatures behind it, lasting for 1 minute or until destroyed🩰>"
Carnival Mirror Maze,Panels of mirrors and twisting reflections,"Create a 20-foot radius area of distorted reflections where ranged attacks have disadvantage and creatures must succeed on a DC [[13 + d8]] Intelligence save or become disoriented, causing movement speed halving for 1 round 🪞>"
<Curtain Call,A pair of velvet stage curtains parting to reveal an empty space,Create a 20-foot radius area of shadowy veil that grants all allies inside half cover and advantage on Stealth checks for 1 minute 🎭>
Laughing Gas Cloud,A mischievous clown mask exhaling sparkling gas,Create a 20-foot radius cloud of euphoric gas forcing creatures to succeed a DC [[12 + d8]] Con save or be incapacitated with laughter for 1d4 rounds 🤡
<Carnival Canopy,A colorful striped big top tent unfurling rapidly,"Create a 20-foot radius dome of fabric and poles that provides three-quarters cover and dims light inside, lasting 1 minute or until destroyed 🏕️>"
<Emerald Canopy,A swirling lattice of glowing green vines creating a dome overhead,Create a 20-foot radius dome of living vines that grants half cover to all within and lightly restrains enemies moving through it until the start of your next turn 🌿>
<Tent of Whispers,A colorful circus tent billowing amidst swirling shadows,"Create a 20-foot radius dome of semi-transparent fabric, granting creatures inside advantage on Stealth checks and disadvantage on ranged attacks from outside for 1 minute 🎪>"
<Carnival Veil,Colorful tents and streamers forming a swirling dome,"Create a 20-foot radius dome of shimmering lights and cloth, granting all inside half cover and imposing disadvantage on ranged attacks from outside the dome for 1 minute 🎭>"
Magician’s Curtain Call,A sparkling velvet curtain pulled dramatically closed,"Create a 20-foot radius opaque curtain of illusion that blocks vision and sound for 1 minute, allowing creatures inside to hide or escape unseen 🎪>"
<Illusory Curtain,A shimmering veil of silk curtains rising up in a semi-circle,"Create a 20-foot radius semi-circular zone of illusionary stage curtains that impose disadvantage on ranged attacks passing through and lightly obscure vision for 1 minute, creatures can attempt a DC 14 Investigation save to see through it🎭>"
<Curtain Call,Rich velvet stage curtains unfurling to create a semi-circular barrier,Create a 20-foot radius semicircular wall of thick curtains that grants three-quarters cover to creatures behind it for 1 minute or until destroyed 🎭>
<Veil of the Jester,A swirling cloud of colorful smoke shaped like a laughing clown face,"Create a 20-foot radius sphere of illusionary, shifting smoke that heavily obscures the area for [[1d4+1]] rounds"
<Illusionist’s Trap,A glowing ring of multicolored lights suspended midair,"Create a 20-foot radius sphere of illusory carnival lights and sounds, causing creatures entering for the first time or starting their turn inside to make a DC [[13 + d4]] Wisdom saving throw or be frightened until the end of their next turn🎭>"
Carnival Mirror,A hand mirror reflecting a distorted carnival scene,Create a 20-foot radius sphere of illusory carnival mirrors. Enemies that enter the sphere must succeed on a DC [[13 + d6]] Wisdom save or be blinded until the end of their next turn 🤡>
<Illusory Curtain,A shimmering translucent curtain rises like a stage backdrop,Create a 20-foot radius sphere of illusory curtains that grants three-quarters cover to creatures inside and obscures vision beyond it for 1 minute 🎭>
Mirror Maze,A carnival mirror distorted and twisting reflections,Create a 20-foot radius sphere of illusory mirrors that grant full cover to creatures inside and impose disadvantage on ranged attacks made into or out of the area until the start of your next turn 🪞>
<Illusory Marquee,A colorful carnival tent shimmering with magical light,Create a 20-foot radius sphere of illusory tents and decorations providing total cover and lightly obscuring vision. Enemies must succeed on DC [[13 + d6]] Int save or be charmed until they leave the area🎪>
<Curtain Call,Heavy velvet theater curtains swirling open,"Create a 20-foot radius sphere of opaque curtains centered on a point within 60 feet, granting half cover to allies inside and heavily obscuring enemies outside for 1 minute 🎭"
<Carnival Veil,"A translucent, swirling silk curtain dotted with tiny shimmering lights","Create a 20-foot radius sphere of shimmering silken curtains that lightly obscure vision, granting all allies inside half cover and imposing disadvantage on ranged attacks from enemies outside the sphere until your next turn 🌫️>"
<Carnival Veil,A colorful circus tent unfurled across the ground,"Create a 20-foot radius sphere of shimmering, illusionary tents and banners that provide half cover for all allies inside and impose disadvantage on ranged attacks targeting foes within"
<Curtain Call,A velvet curtain being dramatically pulled aside,"Create a 20-foot radius sphere of shimmering, opaque curtains that heavily obscure vision for all creatures inside except you"
<Silken Web,An intricate silk web stretching across a battlefield,Create a 20-foot radius sphere of sticky silken threads centered on a point within range. Creatures entering or starting their turn in the area must succeed on a DC [[13 + d4]] Dexterity saving throw or be restrained until the end of their next turn🕸>
<Curtain Call,Deep crimson stage curtains unfurling,Create a 20-foot radius sphere of thick velvet curtains that grant total cover and impose disadvantage on Perception checks to creatures outside for 1 minute 🎭>
<Illusory Spotlight,A glowing theatrical spotlight shining down on a portion of the battlefield,Create a 20-foot radius spotlight centered on a point you choose within 60 feet. Enemies inside the spotlight have disadvantage on Stealth checks and attacks against them have advantage until the start of your next turn 🎭>
<Mystic Tapestry,"An intricate, glowing web forming across the ground",Create a 20-foot radius web of shimmering threads that grants half cover to all allies within and slows enemies’ movement by 10 feet until the end of your next turn 🕸️>
<Spectral Tapestry,An ethereal cloth unfurling into a shimmering net,Create a 20-foot radius web of translucent threads. Creatures moving through the area must succeed on a DC [[13 + d4]] Dexterity save or be restrained until the start of your next turn 🕸️>
Weaver’s Web,A massive spiderweb made of glistening threads,Create a 20-foot radius zone of difficult terrain that halves movement and imposes disadvantage on Dexterity saving throws for creatures who start their turn inside for 1 minute 🕸>
<Illusory Tapestry,A swirling tapestry of shifting colors and shapes unfurling in a circle,"Create a 20-foot radius zone of illusory terrain that causes enemies starting their turn there to make a DC [[13 + d4]] Wisdom save or be charmed until their next turn, believing the illusions to be real 🎭>"
<Carnival Veil,A swirling mist of colorful smoke and flashing lights,Create a 20-foot radius zone of shimmering illusions that impose disadvantage on ranged attacks against creatures inside the zone until the start of your next turn 🎭>
<Carnival Curtain,"A swirling, colorful curtain unfurls in a 20-foot radius","Create a 20-foot radius zone of swirling, semi-transparent fabric that grants three-quarters cover to any creature inside and imposes disadvantage on Perception checks to see or hear through it for 1 minute 🎭>"
<Silken Web,A glowing lattice of shimmering silk strands woven in midair,Create a 20-foot radius zone of tangled silk threads that slows movement by half and causes stealth checks disadvantage for creatures inside until your next turn ends 🕸️>
Spider’s Stage,A cobwebbed wooden stage scattered with scattered props,"Create a 20-foot radius zone of tangled webbing and weak ropes difficult terrain that lasts 1 minute. Enemy movement is halved when moving through the area, and ranged attacks through it have disadvantage🐜"
Magician’s Fog,A top hat misting with sparkles and smoke,"Create a 20-foot sphere of smoky fog that obscures vision, grants advantage on Stealth checks inside, and allows you to teleport up to 30 feet within it once per turn for 1 minute 🃏>"
<Clown's Curtain,A bright red-and-white striped curtain snapping open on a small frame,Create a 20-foot-wide curtain of fabric that grants partial cover and blinds enemies behind it for one round (Con save negates blindness) 🎭
<Carnival Maze,A spinning top encircled by a labyrinth pattern,Create a 25-foot radius illusory maze that slows enemies by half their movement speed and forces a DC [[15+d6]] Intelligence save to navigate without getting disoriented for 1 minute 🎪>
<Theatre of Shadows,An ornate theater stage empty except for flickering shadowy figures,"Create a 25-foot spherical zone of dim light that anyone entering must succeed a DC [[13 + Wisdom modifier]] Wisdom saving throw or be frightened until the end of their next turn, and grants advantage to Stealth checks for allies inside 🎭>"
<Spectacle Veil,"A shimmering, translucent curtain unfurling across a battlefield line",Create a 30-foot line of semi-transparent veil providing full cover to creatures behind it for 1 minute or until dispelled 🕸️>
Magician’s Veil,A mysterious top hat tipped slightly with smoke curling upward,"Create a 30-foot line of shimmering smoke and mirrors that grants invisibility to a creature that enters or starts its turn in the area until it leaves or the effect ends, lasting 1 minute 🃏>"
<Tightrope Tangle,A silver thread spun across the battlefield,Create a 30-foot line of shimmering thread difficult terrain until the end of your next turn. Enemies crossing must succeed on a DC [[13 + d4]] Dex save or be restrained until the end of their next turn 🎭>
<Juggling Chains,Multiple glowing chains float and lazily toss small shackles above a stage,"Create a 30-foot line of spectral chains that snare and slow enemies, forcing a DC [[13 + d6]] Dexterity save or have their movement halved until the end of their next turn ⛓️>"
Ringmaster’s Whip,A bright red whip cracking through the air,"Create a 30-foot line of whip-like energy that lashes enemies, dealing [[2d8]] psychic damage and forcing a Dexterity saving throw DC 15 to be restrained as spectral ropes bind their limbs for 1 round🪢"
Tightrope Tangle,A slender silver tightrope stretched taut across the card,Create a 30-foot linear zone of difficult terrain and advantage on Dexterity saving throws to avoid falling prone
Stagehand’s Scaffold,A scaffold lined with ropes and pulleys,"Create a 30-foot long line of magical scaffolding that provides full cover and can be climbed without a check, lasting 1 hour 🛠️"
<Tightrope Line,"A thin, glowing rope stretched across the battlefield","Create a 30-foot long, 5-foot wide line of shimmering spectral rope that acts as difficult terrain and grants half cover to anyone behind it for 1 minute 🧵>"
Tightrope Walk,"A thin, glowing silver thread stretched between two stakes","Create a 30-foot long, 5-foot wide line of tightrope that enemies must succeed a DC [[12 + d8]] Dex save to cross without falling prone"
<Tightrope Walk,A silken rope stretched across a fiery carnival,"Create a 30-foot long, 5-foot wide ribbon of magical taut rope that you and allies can walk across safely, granting Dexterity saving throw advantage while on it"
Stage Prop Barrier,Wooden stage prop crates stacked like a wall,"Create a 30-foot long, 10-foot high line of temporary wooden crates that provide total cover and last 1 minute or until destroyed 🪵"
<Carnival Mirror Maze,A hall of distorted mirrors reflecting strange angles,"Create a 30-foot long, 10-foot wide maze of reflective panels in a line"
<Carnival Mirage,A brightly lit carnival tent flickering with illusions,Create a 30-foot radius illusionary carnival tent that creates difficult terrain and imposes disadvantage on perception checks to see through the illusions for 1 minute 🎡>
Carnival Maze,"A colorful, tangled maze of vibrant tents and decorations",Create a 30-foot radius maze of carnival tents and ropes that counts as difficult terrain for enemies and lightly obscures the area for 1 minute 🏰>
Carnival Maze,Brightly colored tents and mirrors form a labyrinthine zone,Create a 30-foot radius spherical maze that causes all creatures to make a DC [[14 + d6]] Int save or become disoriented (disadvantage on attack rolls and checks) for 1 minute 🎪>
Carnival Canopy,Bright colorful fabric tents unfurl overhead,Create a 30-foot radius zone of magical cover where everyone under the canopy has +2 AC and advantage on saving throws against being frightened until the start of your next turn 🎪>
Trapdoor Maze,An intricate wooden floor with trapdoors all around,"Create a 30-foot radius zone of shifting floorboards that forces creatures to make a DC [[15]] Dexterity saving throw or be knocked prone, difficult terrain for 1 minute 🌀>"
Magician's Misdirection,A magician bowing with swirling smoke around,Create a 30-foot sphere of illusory duplicates that impose disadvantage on attack rolls against any creature inside except you for 1 minute or until dispersed by damage🔮>
Line of Balancing Cords,A tightrope stretched across the battlefield,"Create a 30-foot straight line of taut rope that creatures must succeed on a DC [[10 + d6]] Dexterity saving throw to cross without falling prone, lasting 1 minute 🎪"
Big Top Barricade,Stacked circus crates and heavy trunks arranged in a line,Create a 30-foot-long line of difficult terrain and half cover
<Tightrope Strand,A shimmering silver thread stretches across the battlefield,"Create a 30-foot-long, 5-foot-wide line of tightrope that anyone crossing must succeed a DC [[15 + d4]] Dexterity saving throw or be knocked prone, and grants half cover to creatures behind it until the start of your next turn🎪>"
Magician’s Thread,A thin silver thread weaving through the air,Create a 40-foot line of magical thread that briefly anchors creatures. Enemies passing through must succeed on a DC [[12 + d6]] Dexterity save or have their speed halved until the end of their next turn 🪢>
Tightrope Walk,A slender wire stretched tightly across a chasm,"Create a 60-foot long narrow line of magical tightrope that grants advantage on Dexterity saving throws and Acrobatics checks to cross but imposes disadvantage on all other checks while on it, lasting 1 hour 🎪>"
Big Top Shield,A large colorful circus tent,Create a dome of magical fabric covering a 20-foot radius that grants total cover and blocks magical scrying attempts for 1 minute 🎪>
<Magician’s Rift,A large top hat emitting a swirling vortex of cards,Create a line 30 feet long and 5 feet wide of illusory magical energies that obscures vision
Juggling Lights,Floating colorful balls of light orbit in a 30-foot sphere,Create a zone of dazzling lights that grants advantage on Dexterity (Acrobatics) checks and imposes disadvantage on attack rolls against creatures within it for 1 minute✨>
<Veil of Ribbons,Colorful flowing ribbons weave a swirling pattern in a 15-foot radius,"Create a zone of swirling ribbons for 1 minute, granting half cover to all creatures within and imposing disadvantage on ranged attacks passing through it 🎭>"
<Magician’s Veil,A top hat with smoke swirling out,Create an illusionary dome 15-foot radius in which all creatures inside appear invisible from outside
<Clown’s Mirror,"A cracked, ornate handheld mirror with a painted clown face","Create an illusory double of a creature in a 15-foot radius that mimics their last action, distracting enemies and granting all allies in the area +2 AC until your next turn 🤡>"
Magician’s Mirage,A top hat and wand casting light illusions rising in a spiral,Create an illusory duplicate of yourself that lasts 1 minute and moves independently
Magician's Cabaret,An ornate stage with curtains and spotlights,Create an illusory stage platform up to 30 feet long in a straight line that grants advantage on Performance checks and exudes an aura that imposes disadvantage on attack rolls against any ally standing fully upon it for 1 minute 🎤>
<Carnival Tents,Brightly colored striped tents sprouting from the ground in a 20-foot radius,"Create difficult terrain in a 20-foot radius for 1 minute, granting half cover to all allies within the area 🎪>"
<Juggler’s Grasp,A juggler tossing gleaming balls midair,Create five glowing orbs that float in a 10-foot radius around a point within 60 feet
<Juggling Pins,Three vibrant pins floating in the air,"Create floating barriers of spinning pins in a 20-foot line, dealing [[2d6]] piercing damage and knocking prone any creature that fails a DC 14 Dexterity saving throw 🪃>"
Clown’s Juggling Pins,Three brightly colored pins levitating mid-air,"Create floating, spinning juggling pins in a 10-foot cube that impose difficult terrain and force any creature moving through to make a DC 13 Dexterity save or be knocked prone by the erratic motion for 1 round 🤹"
Carnival Mirror,A tall ornate mirror reflecting a distorted version of the battlefield,"Create illusory duplicates of you that mimic your movements, granting attackers disadvantage on first attack rolls against you until the end of your next turn 🎭>"
<Magician's Mirage,A top hat releasing sparkling illusions,Create illusory duplicates of yourself in a 30-foot line that last 1 minute
<Magician's Mirage,A white-gloved hand pulling a rabbit from a hat,"Create illusory duplicates of yourself in a 30-foot radius, granting you advantage on Stealth checks and causing enemies to have disadvantage on attack rolls against you for 1 minute 🐇>"
Carnival Trick,A jester juggling glowing balls of light,"Create illusory obstacles in a 15-foot radius centered on you, causing enemies to have disadvantage on Wisdom (Perception) checks and ranged attack rolls while in the area for 1 minute. Allies gain advantage on Stealth checks in the area🤹"
The Juggler’s Grace,A performer juggling glowing orbs in midair,"Create three floating orbs of light in a 15-foot radius that hover and provide dim light, granting advantage on Stealth checks to allies within 10 feet for 1 minute 🤹‍♂️>"
Clown’s Juggling Pins,Three glowing pins orbiting the caster,Create three floating pins in a line up to 30 feet long that provide half cover to allies behind them and can be moved 10 feet as a bonus action for 1 minute 🤹
Conjurer's Veil,An elegant magician’s top hat with swirling magical mist,Creates a 15-foot radius misty zone that grants allies advantage on Stealth checks and imposes disadvantage on enemy Wisdom (Perception) checks to detect creatures within it 🎩
Mirror Maze,A labyrinth of ornate mirrors reflecting fragmented images,Creates a 15-foot radius zone causing attackers to have disadvantage on attack rolls while inside
<Illusory Spectacle,A troupe of ghostly performers dancing in a circle,"Creates a 15-foot radius zone of dazzling illusions that imposes disadvantage on attack rolls and saving throws of enemies who start their turn in the area, lasting 1 minute 🤡>"
<Veil of Tethers,A web of glowing threads stretching across a battlefield,"Creates a 15-foot radius zone where creatures have their movement halved as ethereal threads bind their feet, lasts for 1 minute🕸️>"
<Veil of Spangles,A swirling curtain of multicolor ribbons twirling in the air,Creates a 20-foot radius cylindrical zone of swirling ribbons and lights centered on you. Enemies inside have disadvantage on Perception checks and ranged attacks until the end of your next turn 🎭>
<Illusory Canopy,A shimmering fabric woven from light and shadow unfurls above an area,Creates a 20-foot radius dome of illusory cover granting half cover to all creatures inside for 1 minute or until broken 🎭>
<Carnival Canopy,A brightly colored striped tent canopy unfurling overhead,"Creates a 20-foot radius dome of translucent fabric that lasts 1 minute, granting half cover to all creatures within and imposing disadvantage on perception checks to see through it 🎪>"
<Veil of Silk,Flowing translucent silk drapes appearing from nowhere,"Creates a 20-foot radius sphere of dense, shimmering silk drapes that grant half cover to all inside and impose disadvantage on ranged attacks targeting creatures within the veil for 1 minute 🎭>"
<Curtain Call,Velvet theater curtains unveiled across a 20-foot radius,Creates a 20-foot radius sphere of semi-transparent curtains granting full cover and heavily obscuring creatures inside until your next turn ends 🎭>
<Carnival Carousel,"A swirling, brightly painted merry-go-round",Creates a 20-foot radius zone of spinning platforms
<Carnival Tents,Brightly colored striped tents pitched in a semicircle,Creates a 20-foot radius zone of tents providing half cover
<Curtain Call,A shimmering velvet stage curtain unfurls across the battlefield,"Creates a 20-foot wide, 10-foot tall curtain of magical fabric in a line 30 feet long that grants half cover to creatures behind it, lasts for 1 minute or until destroyed 🟦>"
<Tightrope Traverse,"A glowing, taut tightrope extends across 60 feet","Creates a narrow line of tightrope that any creature can cross as difficult terrain, gains advantage on Dexterity (Acrobatics) checks while on it, lasting 10 minutes 🎭>"
Silk Thread Snare,A glowing thin white thread looping intricately,Creates a tangled snare line up to 30 feet long and 5 feet wide. Creatures crossing must make a DC [[14 + d4]] Strength save or be restrained until they free themselves using an action (DC 15 Athletics) 🧵>
<Carnival Tents,Brightly colored carnival tents appearing in a 20-foot radius circle,Creates difficult terrain in the area and grants all allies inside half cover until the end of your next turn 🎪>
<Juggler’s Mirage,A performer tossing glowing balls mid-air,Creates illusory spheres in a 20-foot radius that impose disadvantage on perception checks to see creatures inside for 1 minute✨>
Silk Curtain,A shimmering red theatrical curtain billowing,Deploy a vertical 30-foot tall curtain in a 10-foot wide line that blocks line of sight and grants three creatures behind it half cover for 1 minute 🎪>
<Illusory Spotlight,A glowing spotlight beam shining down from above,Designate a 15-foot radius on the battlefield
Phantom Spotlight,A single beam of light piercing through colorful smoke,Designate a 20-foot radius zone. Enemies in the zone have disadvantage on Stealth checks and must succeed on a DC [[15 + d4]] Wisdom save or be frightened for 1 round 🎭>
Clown's Honk,A bright red nose honking with sound waves spreading out,"Emit a 15-foot radius wave of chaotic laughter, creatures in the radius must succeed on a DC [[14]] Wisdom save or be charmed and have disadvantage on attack rolls until the end of your next turn 🤡>"
<Tightrope Snare,"A thin, sparkling rope stretches taut across a 20-foot line",Enemies that move through this line must succeed on a DC [[13 + d4]] Dexterity saving throw or be restrained until the end of their next turn by spectral ropes 🪢>
Jester's Net,A tangled net with jingling bells and multicolored tassels,Ensnare a 15-foot-square area on the ground
Magician’s Veil,A silk magician’s scarf billowing in the wind,"Erect a 15-foot radius dome of smoky, shimmering mist that provides total cover from ranged attacks to those inside for one minute or until a hostile action is taken 🎩>"
<Mage's Marquee,A floating circus tent shimmering with magical runes,"Erect a 30-foot line of translucent tent fabric that provides three-quarters cover and blocks line of sight for creatures behind it, lasting 1 minute 🏕️>"
Clown’s Big Top,A cheerful red and white striped circus tent bursts into existence,Erect durable cover in a 20-foot radius circle that provides three-quarters cover for all inside for 10 minutes or until destroyed 🤡>
Carnival Tarp,Brightly colored circus tent fabric unfurling,"Erects a 15-foot long, 10-foot high line of durable circus tarp as partial cover (AC 15, 30 HP) lasting 1 minute or until destroyed 🎪>"
<Carnival Canopy,Brightly colored circus tent overhead,"Erects a 20-foot diameter dome of fabric and light, granting three-quarters cover to all inside and dim light for 1 hour🎪>"
<Carnival Mirror,A tall ornate mirror reflecting carnival lights,"For 1 minute, create a 20-foot radius spherical zone causing illusions that impose disadvantage on attack rolls against creatures inside the zone, and creatures inside have advantage on Stealth checks 🤡>"
